,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,month
0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,266,БЕОГРАД - НОВИ БЕОГРАД,0,1,0,0,0,0,0,0,0,38,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,267,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,268,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,270,БЕОГРАД - НОВИ БЕОГРАД,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,271,БЕОГРАД - НОВИ БЕОГРАД,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,2
1,0,1,0,0,0,0,0,0,0,38,6,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,267,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,268,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,270,БЕОГРАД - НОВИ БЕОГРАД,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,271,БЕОГРАД - НОВИ БЕОГРАД,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,2
2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,268,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,270,БЕОГРАД - НОВИ БЕОГРАД,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,271,БЕОГРАД - НОВИ БЕОГРАД,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,2
3,0,2,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,270,БЕОГРАД - НОВИ БЕОГРАД,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,271,БЕОГРАД - НОВИ БЕОГРАД,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,277,БЕОГРАД - НОВИ БЕОГРАД,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,2
4,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,270,БЕОГРАД - НОВИ БЕОГРАД,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,271,БЕОГРАД - НОВИ БЕОГРАД,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,277,БЕОГРАД - НОВИ БЕОГРАД,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,278,БЕОГРАД - НОВИ БЕОГРАД,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,2
5,3,0,0,0,0,0,0,0,0,43,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,271,БЕОГРАД - НОВИ БЕОГРАД,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,277,БЕОГРАД - НОВИ БЕОГРАД,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,278,БЕОГРАД - НОВИ БЕОГРАД,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,279,БЕОГРАД - НОВИ БЕОГРАД,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,2
6,6,1,0,0,0,0,0,0,0,61,31,0,12,0,0,2,0,0,0,0,0,0,0,0,71,0,272,БЕОГРАД - НОВИ БЕОГРАД,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,277,БЕОГРАД - НОВИ БЕОГРАД,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,278,БЕОГРАД - НОВИ БЕОГРАД,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,279,БЕОГРАД - НОВИ БЕОГРАД,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,280,БЕОГРАД - НОВИ БЕОГРАД,0,5,0,0,1,0,0,0,0,7,18,0,6,0,0,0,0,0,0,99,0,0,0,0,21,0,2
7,0,2,0,0,0,0,0,0,0,14,79,0,20,0,0,0,0,0,0,1,0,0,0,0,49,0,273,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,277,БЕОГРАД - НОВИ БЕОГРАД,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,278,БЕОГРАД - НОВИ БЕОГРАД,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,279,БЕОГРАД - НОВИ БЕОГРАД,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,280,БЕОГРАД - НОВИ БЕОГРАД,0,5,0,0,1,0,0,0,0,7,18,0,6,0,0,0,0,0,0,99,0,0,0,0,21,0,281,БЕОГРАД - НОВИ БЕОГРАД,5,0,0,0,1,0,0,0,0,0,34,0,29,0,0,0,0,0,0,117,0,0,0,0,24,0,2
8,0,0,0,0,1,0,0,0,0,16,15,0,29,0,0,0,0,0,0,5,0,0,0,0,28,0,274,БЕОГРАД - НОВИ БЕОГРАД,0,0,0,0,7,0,0,0,0,3,19,0,20,0,0,0,0,0,0,6,0,0,1,0,15,0,275,БЕОГРАД - НОВИ БЕОГРАД,0,6,0,0,0,0,0,0,0,19,39,0,54,0,0,0,0,0,0,0,0,0,0,0,19,0,276,БЕОГРАД - НОВИ БЕОГРАД,3,3,0,0,7,0,0,0,0,4,16,0,69,0,0,6,0,0,0,18,0,0,0,0,71,0,277,БЕОГРАД - НОВИ БЕОГРАД,7,0,0,0,2,0,0,0,0,3,153,0,78,0,0,2,0,0,0,56,0,0,0,0,97,0,278,БЕОГРАД - НОВИ БЕОГРАД,0,63,0,0,1,0,0,0,0,40,210,0,99,0,0,1,0,0,0,0,0,0,0,0,76,0,279,БЕОГРАД - НОВИ БЕОГРАД,0,7,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,0,0,13,0,0,0,0,1,0,280,БЕОГРАД - НОВИ БЕОГРАД,0,5,0,0,1,0,0,0,0,7,18,0,6,0,0,0,0,0,0,99,0,0,0,0,21,0,281,БЕОГРАД - НОВИ БЕОГРАД,5,0,0,0,1,0,0,0,0,0,34,0,29,0,0,0,0,0,0,117,0,0,0,0,24,0,282,БЕОГРАД - НОВИ БЕОГРАД,0,1,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,51,0,0,0,0,54,0,2
