batch_id,1 day prediction,2 days prediction,3 days prediction
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,1.5,0.5,0.5
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,1.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.43244630686811236,0.3823709011260937,0.32072164920494184
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.43244630686811236,0.3823709011260937,0.32072164920494184
57,0.0,0.0,0.0
58,0.0,0.5,0.5
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.5,1.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,1.0,2.5,2.045344402959109
65,0.0,0.0,0.5906888059182175
66,0.0,0.0,0.09068880591821744
67,3.5,4.0,5.361543656223066
68,4.5,4.5,10.181377611836435
69,0.0,0.5,0.5906888059182175
70,0.0,0.0,0.5453444029591087
71,58.515656350640164,65.89818695058372,85.60218133755262
72,47.843770900426776,52.43212463372249,60.23478755836841
73,55.64412625059275,54.627950880170125,63.90942716440058
74,105.75266512624478,124.21869684835727,140.30979704524123
75,14.171885450213388,13.466062316861244,24.367393779184205
76,65.27259615054533,77.85771480975652,85.71667299124853
77,23.300355350165972,33.19582624644764,36.17463960603216
78,109.56488845771938,109.81515674486559,120.72450646447774
79,133.94032272275928,138.5088216075684,140.17441673074643
80,82.65191076617549,87.05212539589246,89.67960517158221
81,103.72699761918348,102.69085836843304,105.36958722483594
82,110.44032272275926,116.0088216075684,118.67441673074643
83,184.0853972311309,184.62449943881202,181.0716430428659
84,147.88400758300327,156.904771878163,153.53193019080612
85,208.26277821883764,190.6965516080696,184.26159639155378
86,315.91729001418673,287.5571162298519,266.630238749435
87,100.93906061581416,98.5245081596041,89.43177812209312
88,132.15070308383747,111.6433463817576,105.42687849051205
89,34.31936805779075,30.536866453242602,25.213532486313007
90,312.2323085267447,302.95880568787163,278.2274854526004
91,269.0320921932563,226.99162218579238,219.05767668628897
92,64.19109304593962,51.53109579418105,37.56333833111072
93,13.595872296698396,10.376504867571471,10.325010282254096
94,7.991874902888224,5.797392523335317,3.7673570111876855
95,12.819791504813708,8.828987538892196,6.11226168531281
96,12.46782538528148,9.300527063822216,6.862769161449479
97,37.13552046107152,24.556671339452052,22.10820187621946
98,36.08742142585804,31.062940420425846,24.799026176743048
99,4.146443830041765,6.051647952925427,6.947397723159387
100,3.1341902128750423,3.7364205512537545,5.834599024211165
101,2.0122536171667225,2.8152274016716725,3.112798698948221
102,1.4451585107292018,1.9470171260447955,1.9454991868426383
103,1.8903170214584035,3.394034252089591,4.390998373685276
104,8.780634042916807,13.288068504179183,15.781996747370554
105,15.10385595793769,23.313892480641897,27.505695608950248
106,3.4728711453127574,3.123868378738215,2.752571017312952
107,1.4864355726563785,0.8119341893691074,0.626285508656476
108,0.6576237151042524,0.5412894595794049,0.4175236724376507
109,0.6576237151042524,0.5412894595794049,0.4175236724376507
110,3.616930433073388,2.9770920276867265,2.2963801984070784
111,4.63049486041701,3.6651578383176195,2.670094689750603
112,3.301683002864883,2.3945131085279168,1.961332853531777
