,Unnamed: 0,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE
819,2728,2016-02-01,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
820,2729,2016-02-02,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
821,2730,2016-02-03,0,0,0,0,0,0,0,0,0,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
822,2731,2016-02-04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823,2732,2016-02-05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
824,2733,2016-02-06,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825,2734,2016-02-07,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,2735,2016-02-08,1,0,0,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
827,2736,2016-02-09,1,0,0,0,2,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
828,2737,2016-02-10,0,1,0,0,2,0,0,0,0,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
829,2738,2016-02-11,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0
830,2739,2016-02-12,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0
831,2740,2016-02-13,1,2,0,0,0,0,0,0,0,14,2,0,34,0,0,0,0,0,0,9,0,0,0,0,14,0
832,2741,2016-02-14,2,4,0,0,0,0,0,0,0,12,68,0,39,0,0,0,0,0,0,15,0,0,0,0,35,0
833,2742,2016-02-15,1,0,0,0,1,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
834,2743,2016-02-16,1,0,0,0,2,0,0,0,0,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
835,2744,2016-02-17,0,1,0,0,2,0,0,0,0,8,12,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
