,Unnamed: 0,Unnamed: 0_x,date,ACER,ALNUS,AMBROSIA,ARTEMISIA,BETULA,CANNABACEAE,CARPINUS,CELTIS,CHENOP/AMAR.,CORYLUS,CUPRESS/TAXA.,FAGUS,FRAXINUS,JUGLANS,MORACEAE,PINACEAE,PLANTAGO,PLATANUS,POACEAE,POPULUS,QUERCUS,RUMEX,SALIX,TILIA,ULMACEAE,URTICACEAE,Unnamed: 0.1,Unnamed: 0_y,tavg,tmin,tmax,prcp,wdir,wspd
546,546,2455,2016-02-01,0,3,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.4044280442804427,133.93795620437956,6.594444444444445
547,547,2456,2016-02-02,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.4059040590405904,134.26094890510947,6.5888888888888895
548,548,2457,2016-02-03,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.407380073800738,134.58394160583944,6.583333333333333
549,549,2458,2016-02-04,0,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.4088560885608856,134.90693430656935,6.5777777777777775
550,550,2459,2016-02-05,0,2,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.4103321033210332,135.22992700729927,6.572222222222222
551,551,2460,2016-02-06,0,4,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.4118081180811808,135.55291970802918,6.566666666666666
552,552,2461,2016-02-07,0,8,0,0,0,0,0,0,0,42,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.4132841328413284,135.8759124087591,6.561111111111111
553,553,2462,2016-02-08,0,12,0,0,0,0,0,0,0,49,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0.414760147601476,136.19890510948906,6.555555555555556
554,554,2463,2016-02-09,0,1,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,0.4162361623616236,136.52189781021897,6.55
555,555,2464,2016-02-10,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,0.4177121771217712,136.84489051094891,6.544444444444444
556,556,2465,2016-02-11,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,0.4191881918819188,137.16788321167883,6.538888888888889
